,TVD (ft),Bot-Hole Northing (NAD83),Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Avg Fluid Pumped per Stage (m3),Stages Actual,Avg Frac Spacing (m),Avg Fluid Pumped / Meter (m3),Proppant Size 1,Total Ceramic Proppant Placed (tonne),No,SF_oil,SF_slickwater
0,-0.24897090904681157,-0.761379343779374,-0.00845427857646195,-0.9927076702585018,-0.4304211959656249,0.8350642783698494,-1.0658082065922254,0.3959270675316957,0.4529108136578382,-0.5813755562310017,37,0,1
1,0.23114124084069976,-0.7079331657821255,0.21044293308402315,-1.292609882220807,-0.6730616078653381,1.8128294144358126,-1.342198051619164,0.5723141943475875,0.4529108136578382,-0.5813755562310017,41,0,1
2,-0.2876376593733226,-0.6685763944140924,-0.25163364239452096,-1.494634601080432,-0.7103075112078503,1.7071250754016543,-1.3494460370656747,0.473602132551538,0.4529108136578382,-0.5813755562310017,43,0,1
3,-0.9933058528321479,-0.22920509808116735,0.08473806538828932,-1.018134919356351,-0.615876369573352,0.9936207869210867,-1.0566274250266454,0.005933511911237727,0.4529108136578382,-0.5813755562310017,60,0,1
4,-0.9030834354036223,0.34872074085431015,0.5289225287507263,0.27273337046049356,0.9019909845221261,-0.010570433903415968,-0.18686917144537,0.7276643243872718,0.4529108136578382,-0.5813755562310017,66,0,1
5,-1.5249736698216738,0.29506660519576355,0.4455964066099998,0.27064345957573877,0.8587439221171506,-0.06342260342049505,-0.20329793845746058,0.7066273276110646,0.4529108136578382,-0.5813755562310017,68,0,1
6,-0.915972352179126,0.2459356174395178,1.161792094457594,1.5872873169712256,1.5508517892177214,-0.30125736624735094,0.4678655138894237,0.5820235774750678,0.4529108136578382,-0.5813755562310017,70,0,1
7,-1.6087516288624477,0.2943907290427312,1.7921056441478747,0.9415048535820106,1.2822708833060714,0.3065425831990585,-0.21006272487420385,1.1306037241777038,0.4529108136578382,-0.5813755562310017,74,0,1
8,0.33747480423860493,1.6013786493472295,0.012607293400212384,1.6816816252659812,-1.0778494659172773,-0.8297790614181418,1.6444551513729821,-1.5394766358793737,-3.2836033990193285,1.4835666523315691,106,0,0
9,0.6919200155649556,-1.4566996206659182,0.6781938641193898,0.5144663961304585,0.8964931484778048,-0.06342260342049505,-0.1849363753263002,0.6143881879000019,0.4529108136578382,-0.5813755562310017,242,0,1
10,0.7756979746057294,-1.3096186351505685,-0.4362291191124126,-0.5325789571316664,-0.060052888923553996,-0.16912694245465323,-0.1796211859988591,-0.32580374494433834,0.4529108136578382,-0.5813755562310017,250,0,0
11,1.1398098735137077,-1.1908724448934374,0.6217365823450228,0.9300103437158597,1.2472705749675772,-0.30125736624735094,-0.19556675398118276,1.099857344274016,0.4529108136578382,-0.5813755562310017,252,0,1
12,1.362143687891146,1.3724646874072752,-1.617517481338123,-0.4242519096052123,-1.066389187965735,-1.279022502313314,1.343422155827908,-1.4860750286782318,-0.5661385170722981,1.4877730160897522,336,1,0
13,1.0334763101158027,0.9995891873943235,-1.5954795112431124,-0.22571037555351212,-1.0896581982659947,-1.3054485870718535,1.2496815440530364,-1.487693259199479,-0.5661385170722981,1.7685286771132038,348,1,0
14,0.9110316007485177,1.16673848608553,-1.6268213796384985,-0.21769905049528548,-1.0140048769237193,-1.331874671830393,1.2690095052437318,-1.4698927234657648,-0.5661385170722981,1.655262773006494,352,1,0
